fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1003,Protein,4.83,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1004,Total lipid (fat),0.58,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1005,"Carbohydrate, by difference",4.72,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1008,Energy,33.0,KCAL
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1087,"Calcium, Ca",19.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1088,"Chlorine, Cl",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1089,"Iron, Fe",0.89,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1090,"Magnesium, Mg",23.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1091,"Phosphorus, P",38.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1092,"Potassium, K",194.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1093,"Sodium, Na",7.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1095,"Zinc, Zn",0.44,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1098,"Copper, Cu",0.174,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1100,"Iodine, I",0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1101,"Manganese, Mn",0.199,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1103,"Selenium, Se",0.6,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1104,"Vitamin A, IU",2.0,IU
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1109,Vitamin E (alpha-tocopherol),0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1165,Thiamin,0.362,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1166,Riboflavin,0.273,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1167,Niacin,3.024,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1170,Pantothenic acid,0.381,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1178,Vitamin B-12,0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1180,"Choline, total",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1186,Folic acid,0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1210,Tryptophan,0.05,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1211,Threonine,0.203,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1212,Isoleucine,0.214,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1213,Leucine,0.347,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1214,Lysine,0.275,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1215,Methionine,0.05,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1217,Phenylalanine,0.243,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1219,Valine,0.248,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1220,Arginine,0.263,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1221,Histidine,0.135,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",11,1229,Cysteine and methionine(sulfer containig AA),0.0,G
