fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name,food_category_label,short_name,inferred_category,nutrition_roles,freq_groups,diversity_cluster,risk_flags
167702,"Oil, flaxseed, cold pressed",4,1003,Protein,0.11,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1004,Total lipid (fat),99.98,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1005,"Carbohydrate, by difference",0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1008,Energy,884.0,KCAL,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1051,Water,0.12,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1079,"Fiber, total dietary",0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1087,"Calcium, Ca",1.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1088,"Chlorine, Cl",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1089,"Iron, Fe",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1090,"Magnesium, Mg",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1091,"Phosphorus, P",1.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1092,"Potassium, K",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1093,"Sodium, Na",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1095,"Zinc, Zn",0.07,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1098,"Copper, Cu",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1100,"Iodine, I",0.0,UG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1101,"Manganese, Mn",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1103,"Selenium, Se",0.0,UG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1104,"Vitamin A, IU",0.0,IU,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1110,"Vitamin D (D2 + D3), International Units",0.0,IU,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1109,Vitamin E (alpha-tocopherol),0.47,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1165,Thiamin,0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1166,Riboflavin,0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1167,Niacin,0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1170,Pantothenic acid,0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1178,Vitamin B-12,0.0,UG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1180,"Choline, total",0.2,MG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1186,Folic acid,0.0,UG,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1210,Tryptophan,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1211,Threonine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1212,Isoleucine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1213,Leucine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1214,Lysine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1215,Methionine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1216,Cystine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1217,Phenylalanine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1218,Tyrosine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1219,Valine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1220,Arginine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1221,Histidine,0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1269,PUFA 18:2,14.327,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1270,PUFA 18:3,53.368,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1272,PUFA 22:6 n-3 (DHA),0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1278,PUFA 20:5 n-3 (EPA),0.0,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1316,"PUFA 18:2 n-6 c,c",14.246,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
167702,"Oil, flaxseed, cold pressed",4,1404,"PUFA 18:3 n-3 c,c,c (ALA)",53.368,G,Fats and Oils,"Oil, Flaxseed, Cold Pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
168390,"Asparagus, cooked, boiled, drained",11,1003,Protein,2.4,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1004,Total lipid (fat),0.22,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1005,"Carbohydrate, by difference",4.11,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1008,Energy,22.0,KCAL,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1051,Water,92.63,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1079,"Fiber, total dietary",2.0,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1087,"Calcium, Ca",23.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1088,"Chlorine, Cl",0.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1089,"Iron, Fe",0.91,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1090,"Magnesium, Mg",14.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1091,"Phosphorus, P",54.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1092,"Potassium, K",224.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1093,"Sodium, Na",14.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1095,"Zinc, Zn",0.6,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1098,"Copper, Cu",0.165,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1100,"Iodine, I",0.0,UG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1101,"Manganese, Mn",0.154,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1103,"Selenium, Se",6.1,UG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1104,"Vitamin A, IU",1006.0,IU,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1110,"Vitamin D (D2 + D3), International Units",0.0,IU,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1109,Vitamin E (alpha-tocopherol),1.5,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1165,Thiamin,0.162,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1166,Riboflavin,0.139,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1167,Niacin,1.084,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1170,Pantothenic acid,0.225,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1178,Vitamin B-12,0.0,UG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1180,"Choline, total",26.1,MG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1186,Folic acid,0.0,UG,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1210,Tryptophan,0.029,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1211,Threonine,0.092,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168390,"Asparagus, cooked, boiled, drained",11,1212,Isoleucine,0.082,G,Vegetables and Vegetable Products,Asparagus,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
