fdc_id,description,inferred_category,nutrition_roles,freq_groups,diversity_cluster,risk_flags
167702,"Oil, flaxseed, cold pressed",oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
168390,"Asparagus, cooked, boiled, drained",vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168433,"Mountain yam, hawaii, cooked, steamed, without salt",vegetable,,,vegetable_cluster,
168449,"Pumpkin, cooked, boiled, drained, without salt",vegetable,"carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168463,"Spinach, cooked, boiled, drained, without salt",vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168484,"Sweet potato, cooked, boiled, without skin",vegetable,"carrier_VitE,vitA_dense",,sweet_potato_family,vitA_upper_risk
168568,"Carrots, baby, raw",vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
168626,"Beef, variety meats and by-products, liver, cooked, braised",organ_liver,"carrier_VitD,vitA_dense",liver_day,beef_family,vitA_upper_risk
168873,"Oat bran, cooked",starch_grain,carrier_LA,,oat_family,
168875,"Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program)",starch_grain,,,rice_family,
168917,"Quinoa, cooked",starch_grain,"carrier_ALA,carrier_EPA_DHA,carrier_LA",,starch_cluster,
169211,"Bamboo shoots, cooked, boiled, drained, without salt",vegetable,carrier_ALA,,vegetable_cluster,
169225,"Cucumber, peeled, raw",vegetable,"carrier_ALA,vitA_dense",,vegetable_cluster,vitA_upper_risk
169283,"Soybeans, green, cooked, boiled, drained, without salt",vegetable,"carrier_ALA,carrier_LA,vitA_dense",,vegetable_cluster,vitA_upper_risk
169292,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
169448,"Beef, variety meats and by-products, heart, cooked, simmered",organ_other,,,beef_family,
169486,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",meat_moderate,carrier_EPA_DHA,,beef_family,
169704,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",starch_grain,,,rice_family,
169967,"Broccoli, cooked, boiled, drained, without salt",vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
169999,"Corn, sweet, yellow, cooked, boiled, drained, without salt",vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
170072,"Yam, cooked, boiled, drained, or baked, without salt",vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
170209,"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, cooked",meat_lean,carrier_EPA_DHA,,beef_family,
170285,"Barley, pearled, cooked",starch_grain,,,starch_cluster,
170394,"Carrots, cooked, boiled, drained, without salt",vegetable,"carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
170407,"Collards, cooked, boiled, drained, without salt",vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
170440,"Potatoes, boiled, cooked without skin, flesh, without salt",vegetable,,,vegetable_cluster,
170490,"Squash, winter, all varieties, cooked, baked, without salt",vegetable,"carrier_ALA,vitA_dense",,vegetable_cluster,vitA_upper_risk
