fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name
167762,"Strawberries, raw",9,1003,Protein,0.67,G
167762,"Strawberries, raw",9,1004,Total lipid (fat),0.3,G
167762,"Strawberries, raw",9,1005,"Carbohydrate, by difference",7.68,G
167762,"Strawberries, raw",9,1008,Energy,32.0,KCAL
167762,"Strawberries, raw",9,1087,"Calcium, Ca",16.0,MG
167762,"Strawberries, raw",9,1088,"Chlorine, Cl",0.0,MG
167762,"Strawberries, raw",9,1089,"Iron, Fe",0.41,MG
167762,"Strawberries, raw",9,1090,"Magnesium, Mg",13.0,MG
167762,"Strawberries, raw",9,1091,"Phosphorus, P",24.0,MG
167762,"Strawberries, raw",9,1092,"Potassium, K",153.0,MG
167762,"Strawberries, raw",9,1093,"Sodium, Na",1.0,MG
167762,"Strawberries, raw",9,1095,"Zinc, Zn",0.14,MG
167762,"Strawberries, raw",9,1098,"Copper, Cu",0.048,MG
167762,"Strawberries, raw",9,1100,"Iodine, I",0.0,UG
167762,"Strawberries, raw",9,1101,"Manganese, Mn",0.386,MG
167762,"Strawberries, raw",9,1103,"Selenium, Se",0.4,UG
167762,"Strawberries, raw",9,1104,"Vitamin A, IU",12.0,IU
167762,"Strawberries, raw",9,1110,"Vitamin D (D2 + D3), International Units",0.0,IU
167762,"Strawberries, raw",9,1109,Vitamin E (alpha-tocopherol),0.29,MG
167762,"Strawberries, raw",9,1165,Thiamin,0.024,MG
167762,"Strawberries, raw",9,1166,Riboflavin,0.022,MG
167762,"Strawberries, raw",9,1167,Niacin,0.386,MG
167762,"Strawberries, raw",9,1170,Pantothenic acid,0.125,MG
167762,"Strawberries, raw",9,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
167762,"Strawberries, raw",9,1178,Vitamin B-12,0.0,UG
167762,"Strawberries, raw",9,1180,"Choline, total",5.7,MG
167762,"Strawberries, raw",9,1186,Folic acid,0.0,UG
167762,"Strawberries, raw",9,1210,Tryptophan,0.008,G
167762,"Strawberries, raw",9,1211,Threonine,0.02,G
167762,"Strawberries, raw",9,1212,Isoleucine,0.016,G
167762,"Strawberries, raw",9,1213,Leucine,0.034,G
167762,"Strawberries, raw",9,1214,Lysine,0.026,G
167762,"Strawberries, raw",9,1215,Methionine,0.002,G
167762,"Strawberries, raw",9,1217,Phenylalanine,0.019,G
167762,"Strawberries, raw",9,1219,Valine,0.019,G
167762,"Strawberries, raw",9,1220,Arginine,0.028,G
167762,"Strawberries, raw",9,1221,Histidine,0.012,G
167762,"Strawberries, raw",9,1229,Cysteine and methionine(sulfer containig AA),0.0,G
167762,"Strawberries, raw",9,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
167762,"Strawberries, raw",9,1272,PUFA 22:6 n-3 (DHA),0.0,G
167762,"Strawberries, raw",9,1278,PUFA 20:5 n-3 (EPA),0.0,G
167762,"Strawberries, raw",9,1316,"PUFA 18:2 n-6 c,c",0.0,G
167762,"Strawberries, raw",9,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
167765,"Watermelon, raw",9,1003,Protein,0.61,G
167765,"Watermelon, raw",9,1004,Total lipid (fat),0.15,G
167765,"Watermelon, raw",9,1005,"Carbohydrate, by difference",7.55,G
167765,"Watermelon, raw",9,1008,Energy,30.0,KCAL
167765,"Watermelon, raw",9,1087,"Calcium, Ca",7.0,MG
167765,"Watermelon, raw",9,1088,"Chlorine, Cl",0.0,MG
167765,"Watermelon, raw",9,1089,"Iron, Fe",0.24,MG
167765,"Watermelon, raw",9,1090,"Magnesium, Mg",10.0,MG
167765,"Watermelon, raw",9,1091,"Phosphorus, P",11.0,MG
167765,"Watermelon, raw",9,1092,"Potassium, K",112.0,MG
167765,"Watermelon, raw",9,1093,"Sodium, Na",1.0,MG
167765,"Watermelon, raw",9,1095,"Zinc, Zn",0.1,MG
167765,"Watermelon, raw",9,1098,"Copper, Cu",0.042,MG
