ingredient_id,nutrient_id,amount,data_source,create_at
167702,1003,0.11,built_in,
167702,1004,99.98,built_in,
167702,1005,0,built_in,
167702,1008,884,built_in,
167702,1051,0.12,built_in,
167702,1079,0,built_in,
167702,1087,1,built_in,
167702,1088,0,built_in,
167702,1089,0,built_in,
167702,1090,0,built_in,
167702,1091,1,built_in,
167702,1092,0,built_in,
167702,1093,0,built_in,
167702,1095,0.07,built_in,
167702,1098,0,built_in,
167702,1100,0,built_in,
167702,1101,0,built_in,
167702,1103,0,built_in,
167702,1104,0,built_in,
167702,1110,0,built_in,
167702,1109,0.47,built_in,
167702,1165,0,built_in,
167702,1166,0,built_in,
167702,1167,0,built_in,
167702,1170,0,built_in,
167702,1171,0,built_in,
167702,1178,0,built_in,
167702,1180,0.2,built_in,
167702,1186,0,built_in,
167702,1210,0,built_in,
167702,1211,0,built_in,
167702,1212,0,built_in,
167702,1213,0,built_in,
167702,1214,0,built_in,
167702,1215,0,built_in,
167702,1216,0,built_in,
167702,1217,0,built_in,
167702,1218,0,built_in,
167702,1219,0,built_in,
167702,1220,0,built_in,
167702,1221,0,built_in,
167702,1269,14.327,built_in,
167702,1270,53.368,built_in,
167702,1272,0,built_in,
167702,1278,0,built_in,
167702,1316,14.246,built_in,
167702,1404,53.368,built_in,
168390,1003,2.4,built_in,
168390,1004,0.22,built_in,
168390,1005,4.11,built_in,
168390,1008,22,built_in,
168390,1051,92.63,built_in,
168390,1079,2,built_in,
168390,1087,23,built_in,
168390,1088,0,built_in,
168390,1089,0.91,built_in,
168390,1090,14,built_in,
168390,1091,54,built_in,
168390,1092,224,built_in,
168390,1093,14,built_in,
168390,1095,0.6,built_in,
168390,1098,0.165,built_in,
168390,1100,0,built_in,
168390,1101,0.154,built_in,
168390,1103,6.1,built_in,
168390,1104,1006,built_in,
168390,1110,0,built_in,
168390,1109,1.5,built_in,
168390,1165,0.162,built_in,
168390,1166,0.139,built_in,
168390,1167,1.084,built_in,
168390,1170,0.225,built_in,
168390,1171,0,built_in,
168390,1178,0,built_in,
168390,1180,26.1,built_in,
168390,1186,0,built_in,
168390,1210,0.029,built_in,
168390,1211,0.092,built_in,
168390,1212,0.082,built_in,
168390,1213,0.14,built_in,
168390,1214,0.113,built_in,
168390,1215,0.034,built_in,
168390,1216,0.034,built_in,
168390,1217,0.082,built_in,
168390,1218,0.057,built_in,
168390,1219,0.125,built_in,
168390,1220,0.099,built_in,
168390,1221,0.053,built_in,
168390,1269,0.076,built_in,
168390,1270,0.029,built_in,
168390,1272,0,built_in,
168390,1278,0,built_in,
168390,1316,0,built_in,
168390,1404,0,built_in,
168433,1003,1.73,built_in,
168433,1004,0.08,built_in,
168433,1005,20,built_in,
168433,1008,82,built_in,
168433,1051,77.14,built_in,
168433,1079,0,built_in,
168433,1087,8,built_in,
168433,1088,0,built_in,
168433,1089,0.43,built_in,
168433,1090,10,built_in,
168433,1091,40,built_in,
168433,1092,495,built_in,
168433,1093,12,built_in,
168433,1095,0.32,built_in,
168433,1098,0.129,built_in,
168433,1100,0,built_in,
168433,1101,0.283,built_in,
168433,1103,0.9,built_in,
168433,1104,0,built_in,
168433,1110,0,built_in,
168433,1109,0,built_in,
168433,1165,0.086,built_in,
168433,1166,0.014,built_in,
168433,1167,0.13,built_in,
168433,1170,0.48,built_in,
168433,1171,0,built_in,
168433,1178,0,built_in,
168433,1180,0,built_in,
