ingredient_id,inferred_category,nutrition_roles,freq_groups,diversity_cluster,risk_flags
167702,oil_omega6_la,"carrier_ALA,carrier_LA",,oil_cluster,
168390,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168433,vegetable,,,vegetable_cluster,
168449,vegetable,"carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168463,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
168484,vegetable,"carrier_VitE,vitA_dense",,sweet_potato_family,vitA_upper_risk
168568,vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
168626,organ_liver,"carrier_VitD,vitA_dense",liver_day,beef_family,vitA_upper_risk
168873,starch_grain,carrier_LA,,oat_family,
168875,starch_grain,,,rice_family,
168917,starch_grain,"carrier_ALA,carrier_EPA_DHA,carrier_LA",,starch_cluster,
169211,vegetable,carrier_ALA,,vegetable_cluster,
169225,vegetable,"carrier_ALA,vitA_dense",,vegetable_cluster,vitA_upper_risk
169283,vegetable,"carrier_ALA,carrier_LA,vitA_dense",,vegetable_cluster,vitA_upper_risk
169292,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
169448,organ_other,,,beef_family,
169486,meat_moderate,carrier_EPA_DHA,,beef_family,
169704,starch_grain,,,rice_family,
169967,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
169999,vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
170072,vegetable,vitA_dense,,vegetable_cluster,vitA_upper_risk
170209,meat_lean,carrier_EPA_DHA,,beef_family,
170285,starch_grain,,,starch_cluster,
170394,vegetable,"carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
170407,vegetable,"carrier_ALA,carrier_VitE,vitA_dense",,vegetable_cluster,vitA_upper_risk
170440,vegetable,,,vegetable_cluster,
170490,vegetable,"carrier_ALA,vitA_dense",,vegetable_cluster,vitA_upper_risk
