fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name
169902,"Quail, cooked, total edible",5,1003,Protein,25.1,G
169902,"Quail, cooked, total edible",5,1004,Total lipid (fat),14.1,G
169902,"Quail, cooked, total edible",5,1005,"Carbohydrate, by difference",0.0,G
169902,"Quail, cooked, total edible",5,1008,Energy,227.0,KCAL
169902,"Quail, cooked, total edible",5,1087,"Calcium, Ca",15.0,MG
169902,"Quail, cooked, total edible",5,1088,"Chlorine, Cl",0.0,MG
169902,"Quail, cooked, total edible",5,1089,"Iron, Fe",4.43,MG
169902,"Quail, cooked, total edible",5,1090,"Magnesium, Mg",22.0,MG
169902,"Quail, cooked, total edible",5,1091,"Phosphorus, P",279.0,MG
169902,"Quail, cooked, total edible",5,1092,"Potassium, K",216.0,MG
169902,"Quail, cooked, total edible",5,1093,"Sodium, Na",52.0,MG
169902,"Quail, cooked, total edible",5,1095,"Zinc, Zn",3.1,MG
169902,"Quail, cooked, total edible",5,1098,"Copper, Cu",0.592,MG
169902,"Quail, cooked, total edible",5,1100,"Iodine, I",0.0,UG
169902,"Quail, cooked, total edible",5,1101,"Manganese, Mn",0.0,MG
169902,"Quail, cooked, total edible",5,1103,"Selenium, Se",21.8,UG
169902,"Quail, cooked, total edible",5,1104,"Vitamin A, IU",234.0,IU
169902,"Quail, cooked, total edible",5,1110,"Vitamin D (D2 + D3), International Units",8.0,IU
169902,"Quail, cooked, total edible",5,1109,Vitamin E (alpha-tocopherol),0.7,MG
169902,"Quail, cooked, total edible",5,1165,Thiamin,0.22,MG
169902,"Quail, cooked, total edible",5,1166,Riboflavin,0.3,MG
169902,"Quail, cooked, total edible",5,1167,Niacin,7.92,MG
169902,"Quail, cooked, total edible",5,1170,Pantothenic acid,0.0,MG
169902,"Quail, cooked, total edible",5,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
169902,"Quail, cooked, total edible",5,1178,Vitamin B-12,0.36,UG
169902,"Quail, cooked, total edible",5,1180,"Choline, total",65.9,MG
169902,"Quail, cooked, total edible",5,1186,Folic acid,0.0,UG
169902,"Quail, cooked, total edible",5,1210,Tryptophan,0.0,G
169902,"Quail, cooked, total edible",5,1211,Threonine,0.0,G
169902,"Quail, cooked, total edible",5,1212,Isoleucine,0.0,G
169902,"Quail, cooked, total edible",5,1213,Leucine,0.0,G
169902,"Quail, cooked, total edible",5,1214,Lysine,0.0,G
169902,"Quail, cooked, total edible",5,1215,Methionine,0.0,G
169902,"Quail, cooked, total edible",5,1217,Phenylalanine,0.0,G
169902,"Quail, cooked, total edible",5,1219,Valine,0.0,G
169902,"Quail, cooked, total edible",5,1220,Arginine,0.0,G
169902,"Quail, cooked, total edible",5,1221,Histidine,0.0,G
169902,"Quail, cooked, total edible",5,1229,Cysteine and methionine(sulfer containig AA),0.0,G
169902,"Quail, cooked, total edible",5,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
169902,"Quail, cooked, total edible",5,1272,PUFA 22:6 n-3 (DHA),0.0,G
169902,"Quail, cooked, total edible",5,1278,PUFA 20:5 n-3 (EPA),0.012,G
169902,"Quail, cooked, total edible",5,1316,"PUFA 18:2 n-6 c,c",0.0,G
169902,"Quail, cooked, total edible",5,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
169903,"Pheasant, cooked, total edible",5,1003,Protein,32.4,G
169903,"Pheasant, cooked, total edible",5,1004,Total lipid (fat),12.1,G
169903,"Pheasant, cooked, total edible",5,1005,"Carbohydrate, by difference",0.0,G
169903,"Pheasant, cooked, total edible",5,1008,Energy,239.0,KCAL
169903,"Pheasant, cooked, total edible",5,1087,"Calcium, Ca",16.0,MG
169903,"Pheasant, cooked, total edible",5,1088,"Chlorine, Cl",0.0,MG
169903,"Pheasant, cooked, total edible",5,1089,"Iron, Fe",1.43,MG
169903,"Pheasant, cooked, total edible",5,1090,"Magnesium, Mg",22.0,MG
169903,"Pheasant, cooked, total edible",5,1091,"Phosphorus, P",242.0,MG
