fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1003,Protein,0.84,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1004,Total lipid (fat),0.18,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1005,"Carbohydrate, by difference",4.32,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1008,Energy,19.0,KCAL
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1087,"Calcium, Ca",9.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1088,"Chlorine, Cl",0.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1089,"Iron, Fe",0.38,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1090,"Magnesium, Mg",16.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1091,"Phosphorus, P",36.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1092,"Potassium, K",319.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1093,"Sodium, Na",6.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1095,"Zinc, Zn",0.77,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1098,"Copper, Cu",0.033,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1100,"Iodine, I",0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1101,"Manganese, Mn",0.086,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1103,"Selenium, Se",0.2,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1104,"Vitamin A, IU",113.0,IU
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1109,Vitamin E (alpha-tocopherol),0.14,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1165,Thiamin,0.051,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1166,Riboflavin,0.053,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1167,Niacin,0.28,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1170,Pantothenic acid,0.193,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1178,Vitamin B-12,0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1180,"Choline, total",10.8,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1186,Folic acid,0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1210,Tryptophan,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1211,Threonine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1212,Isoleucine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",11,1213,Leucine,0.0,G
